id,college_name,university_id,affiliation,status,domain_name
13016,"THIRUVALLA MEDICAL MISSION COLLEGE OF NURSING, ANJILITHANAM. P.O, KAVIYOOR, THIRUVALLA, - 689 582,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES",320,Affiliated College,1,
13017,"THIRUVANANTHAPURAM, KALADY",326,PG Center / Off-Campus Center,1,
13018,"THRISSUR, KALADY",326,PG Center / Off-Campus Center,1,
13019,"THUNCHAN MEMORIAL GOVT. COLLEGE, TIRUR, MALAPURAM",311,Affiliated College,1,
13020,"THUNCHATH EZHUTHACHAN COLLEGE, ELAVANCHERY, NEMMARA, MALAPURAM",311,Affiliated College,1,
13021,"THURAVOOR, KALADY",326,PG Center / Off-Campus Center,1,
13022,"TIM COLLEGE OF TEACHER EDUCATION, NADAPURAM, MALAPURAM",311,Affiliated College,1,
13023,"TIRUR, KALADY",326,PG Center / Off-Campus Center,1,
13024,"TITUS II TEACHERS COLLEGE, THIRUVALLA 689 101, KOTTAYAM",323,Affiliated College,1,
13025,"TKM COLLEGE OF ENGINEERING , KOLLAM, THIRUVANANTHAPURAM",321,Affiliated College,1,
13026,"TKM INSTITUTE OF MANAGEMENT, KARUVELIL, KOLLAM, THIRUVANANTHAPURAM",321,Affiliated College,1,
13027,"TOC-H INSTITUTE OF SCIENCE AND TECHNOLOGY, ARAKUNNAM, KOCHI",313,Recognized Center,1,
13028,"TRAVANCORE ENGINEERING COLLEGE, OYOOR, KOLLAM, THIRUVANANTHAPURAM",321,Affiliated College,1,
13029,"TRAVANCORE MEDICAL COLLEGE,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES",320,Affiliated College,1,
13030,"U.C. COLLEGE, P.B. NO.5, ALUVA - 683 102, KOTTAYAM",323,Affiliated College,1,
13031,"UKF COLLEGE OF ENGINEERING AND TECHNOLOGY, PARIPPALLY, KOLLAM, THIRUVANANTHAPURAM",321,Affiliated College,1,
13032,"UNIVERSAL ENGINEERING COLLEGE, VALIVATTAM, MALAPURAM",311,Affiliated College,1,
13033,"UNIVERSITY COLLEGE OF APPLIED LIFE SCIENCES, CHUTTIPPARA, PATHANAMTHITTA, KOTTAYAM",323,Constituent / University College,1,
13034,"UNIVERSITY COLLEGE OF APPLIED SCIENCES, CHUTTIPPARA, PATHANAMTHITTA, KOTTAYAM",323,Constituent / University College,1,
