id,college_name,university_id,affiliation,status,domain_name
75,"ADITYA COLLEGE OF NURSING, KAKINADA",6,Affiliated College,1,
76,ADITYA DEGREE & P.G. COLLEGE,7,Affiliated College,1,
77,ADITYA DEGREE COLLEGE,7,Affiliated College,1,
79,"ADITYA DEGREE COLLEGE FOR WOMEN, RAJAHMUNDRY",4,Affiliated College,1,
80,"ADITYA DEGREE COLLEGE FOR WOMEN, SANTINAGAR, KAKINADA",4,Affiliated College,1,
81,ADITYA DEGREE COLLEGE ICHAPURAM,7,Affiliated College,1,
82,"ADITYA DEGREE COLLEGE, CINEMA ROAD, TATIPAKA",3,Affiliated College,1,
83,"ADITYA DEGREE COLLEGE, GOPALAPATNAM, VISAKHAPATNAM",4,Affiliated College,1,
84,"ADITYA DEGREE COLLEGE, NEAR RTC COMPLEX, VSP",4,Affiliated College,1,
85,"ADITYA DEGREE COLLEGE, PALAKOL",3,Affiliated College,1,
86,"ADITYA DEGREE COLLEGE, SANTINAGAR, KAKINADA",3,Affiliated College,1,
87,"ADITYA DEGREE COLLEGE, THADITHOTA, RAJAHMUNDRY, EG DIST",4,Affiliated College,1,
88,"ADITYA DEGREE COLLEGE, VIZIANAGARAM",4,Affiliated College,1,
89,"ADITYA ENGINEERING COLLEGE, ADITYA NAGAR, ADB RAOD, SURAMPALEM, PIN-533437(CC-A9)",12,Affiliated College,1,
90,"ADITYA INSTITUTE OF TECHNOLOGY & MANAGEMENT, K.KOTHURU, TEKKALI - 532201, SRIKAKULAM DISTRICT, A.P(CC-A5)",12,Affiliated College,1,
91,"ADONI ARTS & SCIENCE COLLEGE (PG), ADONI",17,Affiliated College,1,
92,"AGARALA ESWSAR REDDY MBA COLLEGE, RAMAPURAM, TIRUPATI",23,Affiliated College,1,
93,"AGRICULTULTURAL COLLEGE, BAPATLA",610,Constituent / University College,1,
94,"AGRICULTURAL COLLEGE, MAHANANDI",610,Constituent / University College,1,
95,"AGRICULTURAL COLLEGE, NAIRA",610,Constituent / University College,1,
96,"AGRICULTURAL COLLEGE, RAJAHMUNDRY",610,Constituent / University College,1,
97,"AITAM SCHOOL OF COMPUTER SCIENCE & MANAGEMENT, K.KOTHURU, TEKKALI- 532201, (CC-PM)",12,Affiliated College,1,
98,"AKRG COLLEGE OF PHARMACY, NALLAGERLA PIN-534112(CC-8N)",12,Affiliated College,1,
100,AKSHARA DEGREE COLLEGE,7,Affiliated College,1,
101,AKSHAYA BHARATHI INSTITUTE OF TECHNOLOGY SIDDAVATAM (P&M),11,Affiliated College,1,
102,"AKSHAYA NURSING COLLEGE, KURNOOL",6,Affiliated College,1,
103,AKULA GOPAIAH DEGREE COLLEGE,3,Affiliated College,1,
104,"AKULA GOPAYYA COLLEGE OF ENGINEERING & TECHNOLOGY, NH-5, Y-JUNCTION, PRATHIAPADU, TADEPALLIGUDEM, PIN -534146 (CC-G5)",12,Affiliated College,1,
105,"AKULA MANIKYAM COLLEGE OF ENGINEERING & TECHNOLOGY, (CC-7F)",12,Affiliated College,1,
106,"AKULA SREE RAMULU COLLEGE OF ENGINEERING, BESIDE NH-5, BY PASS ROAD, TETALI, TANUKU, PIN -534211(CC-53)",12,Affiliated College,1,
107,AL AMEER INSTITUTE OF MANAGEMENT & TECH,4,Affiliated College,1,
108,AL MOMIN COLLEGE OF EDUCATION,2,Affiliated College,1,
109,"AL-AMAN COLLEGE OF ENGINEERING, GUDILOVA (VILLAGE), ANANDAPURAM (MANDAL) PIN-531173 (CC-GJ)",12,Affiliated College,1,
110,"AL-AMEER COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY, GUDILOVA(VIL), ANANDAPURAM(M), PIN-531173 (CC-B1)",12,Affiliated College,1,
111,"AL-AMEER COLLEGE OF PHARMACY, GUDILOVA, ANANDAPURAM(M),PIN-531173(CC-PF)",12,Affiliated College,1,
112,AL-HABEEBA DEGREE COLLEGE FOR WOMEN,28,Affiliated College,1,
113,"ALEXA COLLEGE OF EDUCATION,VENKATACHALAM",27,Affiliated College,1,
114,"ALFA COLLEGE OF ENGINEERING & TECHNOLOGY.ALLAGADDA -518543,KURNOOL",11,Affiliated College,1,
115,ALI COLLEGE OF EDUCATION,2,Affiliated College,1,
116,ALL SAINTS CHRISTIAN LAW COLLEGE,4,Affiliated College,1,
117,ALL SAINTS P.G. COLLEGE,4,Affiliated College,1,
118,"ALLAGADDA INST. OF MANAGEMENT & SCIENCE (PG), ALLAGADDA",17,Affiliated College,1,
119,ALLAM GURUMURTHY LAKSHMIBAI MEMORIAL COLLEGE,4,Affiliated College,1,
120,ALPHA COLLEGE OF EDUCATION,2,Affiliated College,1,
121,"ALPHA COLLEGE OF EDUCATION, KANIGIRI",2,Affiliated College,1,
122,ALPHA DEGREE COLLEGE,2,Affiliated College,1,
123,"ALURI COLLEGE OF NURSING, ONGOLE",6,Affiliated College,1,
124,"ALUURI SEETHARAMA RAJU ACADEMY OF MEDICAL SCEIENCES, ELURU",6,Affiliated College,1,
125,"AMALAPURAM INSTITUTE OF MANAGEMENT SCIENCES & COLLEGE OF ENGINEERING, NH-214 ROAD, MUMMIDIVARAM,PIN-533216 (CC-6L)",12,Affiliated College,1,
126,AMAN SHOWKATH B.ED COLLEGE,2,Affiliated College,1,
127,AMAR DEGREE COLLEGE,7,Affiliated College,1,
128,"AMARA INSTITUTE OF ENGINEERING & TECHNOLOGY, SATULURU POST, NADENDLA (MANDAL), PIN-522601(CC-AH)",12,Affiliated College,1,
129,"AMERICAN NRI COLLEGE OF NURSING, VISAKHAPATNAM",6,Affiliated College,1,
130,"AMRITA SAI INSTITUTE OF SCIENCE & TECHNOLOGY, AMRITA SAI NAGAR, PARITALA (PO), KANCHIKACHERLA (MD), PIN-521180 (CC-AJ)",12,Affiliated College,1,
131,AMRUTHA ARTS & SCIENCE DEGREE COLLEGE,4,Affiliated College,1,
132,AMRUTHA COLLEGE OF EDUCATION,2,Affiliated College,1,
133,AMRUTHA DEGREE COLLEGE,2,Affiliated College,1,
134,ANAKAPALLE MERCHANTS ASSOCIATION KONATHALA SUBRAHMANYAM & IMMIDISETTY KANAKA RAJU COLLEGE OF TECHNOLOGY & MANAGEMENT,4,Affiliated College,1,
135,"ANAM SANJEEVAREDDY DEGREE COLLEGE, ATMAKUR",27,Affiliated College,1,
136,"ANANTAPUR CAMPUS (OFF-CAMPUS CENTRE) FOR WOMEN AT ANANTAPUR, ANANTAPUR DISTRICT, ANDHRA PRADESH",21,Constituent / University College,1,
137,"ANANTAPUR INSTITUTE OF MANAGEMENT & SCIENCE, (AIMS) ANANTAPUR",19,Affiliated College,1,
138,"ANANTHA COLLEGE OF LAW, KESAVAYANAGUNTA, TIRUPATI",23,Affiliated College,1,
139,ANANTHA LAKSHMI ENGINEERING COLLEGE,11,Affiliated College,1,
140,ANDHRA KESARI COLLEGE OF EDUCATION,2,Affiliated College,1,
141,ANDHRA KESARI DEGREE COLLEGE,4,Affiliated College,1,
142,ANDHRA KESARI VIDYA KENDRAM DEGREE COLLEGE,2,Affiliated College,1,
143,ANDHRA LOYOLA COLLEGE,14,Affiliated College,1,
144,"ANDHRA LOYOLA INSTITUTE OF ENGINEERING & TECHNOLOGY, POLYTECHNIC POST OFFICE, LOYOLA CAMPUS,VIJAYAWADA, PIN-520008. (CC-HP)",12,Affiliated College,1,
145,"ANDHRA MEDICAL COLLEGE (B.SC MLT), VISAKHAPATNAM",6,Affiliated College,1,
146,"ANDHRA MEDICAL COLLEGE, VISAKHAPATNAM",6,Affiliated College,1,
147,ANDHRA MUSLIM COLLEGE,2,Affiliated College,1,
148,ANDHRA MUSLIM COLLEGE OF EDUCATION,2,Affiliated College,1,
149,ANDHRA WOMENS SANSKRIT COLLEGE,3,Affiliated College,1,
150,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY & SCIENCES,4,Affiliated College,1,
151,ANITHA VENKATESWARA COLLEGE OF EDUATION,2,Affiliated College,1,
