id,college_name,university_id,affiliation,status,domain_name
90,"Aditya Institute Of Technology & Management, K.Kothuru",12,Affiliated College,1,
91,"Adoni Arts & Science College (Pg), Adoni",17,Affiliated College,1,
92,"Agarala Eswsar Reddy Mba College, Ramapuram",23,Affiliated College,1,
93,"Agricultultural College, Bapatla",610,Constituent / University College,1,
94,"Agricultural College, Mahanandi",610,Constituent / University College,1,
95,"Agricultural College, Naira",610,Constituent / University College,1,
96,"Agricultural College, Rajahmundry",610,Constituent / University College,1,
97,"Aitam School Of Computer Science & Management, K.Kothuru",12,Affiliated College,1,
98,"Akrg College Of Pharmacy, Nallagerla Pin",12,Affiliated College,1,
100,"Akshara Degree College, Etcherla",7,Affiliated College,1,
101,"Akshaya Bharathi Institute Of Technology Siddavatam (P&M), Anantapur",11,Affiliated College,1,
102,"Akshaya Nursing College, Kurnool",6,Affiliated College,1,
103,"Akula Gopaiah Degree College, East Godawari",3,Affiliated College,1,
104,"Akula Gopayya College Of Engineering & Technology, Nh",12,Affiliated College,1,
105,"Akula Manikyam College Of Engineering & Technology, (Cc",12,Affiliated College,1,
106,"Akula Sree Ramulu College Of Engineering, Beside Nh",12,Affiliated College,1,
107,"Al Ameer Institute Of Management & Tech, Visakhapatnam",4,Affiliated College,1,
108,"Al Momin College Of Education, Guntur",2,Affiliated College,1,
109,"Al-Aman College Of Engineering, Gudilova (Village)",12,Affiliated College,1,
110,"Al-Ameer College Of Engineering & Information Technology, Gudilova(Vil)",12,Affiliated College,1,
111,"Al-Ameer College Of Pharmacy, Gudilova",12,Affiliated College,1,
112,"Al-Habeeba Degree College For Women, Kadapa",28,Affiliated College,1,
113,"Alexa College Of Education,Venkatachalam",27,Affiliated College,1,
114,"Alfa College Of Engineering & Technology.Allagadda -518543,Kurnool",11,Affiliated College,1,
115,"Ali College Of Education, Guntur",2,Affiliated College,1,
116,"All Saints Christian Law College, Visakhapatnam",4,Affiliated College,1,
117,"All Saints P.G. College, Visakhapatnam",4,Affiliated College,1,
118,"Allagadda Inst. Of Management & Science (Pg), Allagadda",17,Affiliated College,1,
119,"Allam Gurumurthy Lakshmibai Memorial College, Visakhapatnam",4,Affiliated College,1,
120,"Alpha College Of Education, Guntur",2,Affiliated College,1,
121,"Alpha College Of Education, Kanigiri",2,Affiliated College,1,
122,"Alpha Degree College, Guntur",2,Affiliated College,1,
123,"Aluri College Of Nursing, Ongole",6,Affiliated College,1,
124,"Aluuri Seetharama Raju Academy Of Medical Sceiences, Eluru",6,Affiliated College,1,
125,"Amalapuram Institute Of Management Sciences & College Of Engineering, Nh",12,Affiliated College,1,
126,"Aman Showkath B.Ed College, Guntur",2,Affiliated College,1,
127,"Amar Degree College, Etcherla",7,Affiliated College,1,
128,"Amara Institute Of Engineering & Technology, Satuluru Post",12,Affiliated College,1,
129,"American Nri College Of Nursing, Visakhapatnam",6,Affiliated College,1,
130,"Amrita Sai Institute Of Science & Technology, Amrita Sai Nagar",12,Affiliated College,1,
131,"Amrutha Arts & Science Degree College, Visakhapatnam",4,Affiliated College,1,
132,"Amrutha College Of Education, Guntur",2,Affiliated College,1,
133,"Amrutha Degree College, Guntur",2,Affiliated College,1,
134,"Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College Of Technology & Management, Visakhapatnam",4,Affiliated College,1,
135,"Anam Sanjeevareddy Degree College, Atmakur",27,Affiliated College,1,
136,"Anantapur Campus (Off-Campus Centre) For Women At Anantapur, Anantapur District",21,Constituent / University College,1,
137,"Anantapur Institute Of Management & Science, (Aims) Anantapur",19,Affiliated College,1,
138,"Anantha College Of Law, Kesavayanagunta",23,Affiliated College,1,
139,"Anantha Lakshmi Engineering College, Anantapur",11,Affiliated College,1,
140,"Andhra Kesari College Of Education, Guntur",2,Affiliated College,1,
