id,university_name,university_type,website,country_id
570,"Indian Institute Of Information Technology, Srirangam",Others,,99
571,"Indian Institute Of Technology, Chennai",Institute of National Importance,www.iitm.ac.in,99
572,Indian Maritime University,Central University,imu.edu.in,99
573,"Kalasalingam Academy Of Research And Higher Education, Srivilliputhrur",Deemed University-Private,www.kalasalingam.ac.in,99
574,"Karpagam Academy Of Higher Education, Coimbatore",Deemed University-Private,www.karpagamuniversity.edu.in,99
575,"Karunya Institute Of Technology And Sciences, Coimbatore",Deemed University-Private,www.karunya.edu,99
576,"M.G.R. Educational And Research Institute, Chennai",Deemed University-Private,www.drmgrdu.ac.in,99
577,"Madras University, Chennai",State Public University,www.uNo(0)m.ac.in,99
578,"Madurai Kamraj University, Madurai",State Public University,www.mkuniversity.org,99
579,"Manonmaniam Sundaranar University, Tirunelveli",State Public University,www.msuniv.ac.in,99
580,"Meenakshri Academy Of Higher Education And Research, Chennai",Deemed University-Private,www.maher.ac.in,99
581,"Mother Teresa Women's University, Kodaikanal",State Public University,www.motherteresawomenuniv.ac.in,99
582,"National Institute Of Technology, Tiruchirapalli",Institute of National Importance,http://www.nitt.edu,99
583,"Noorul Islam Centre For Higher Education, Kanyakumari",Deemed University-Private,www.niceindia.com,99
584,"Periyar Maniammal Institute Of Science & Technoloyg, Thanjavur",Deemed University-Private,www.pmu.edu,99
585,"Periyar University, Salem",State Public University,www.periyaruniversity.ac.in,99
586,"Ponnaiyah Ramajayam Institute Of Science & Technology, Thanjavur",Deemed University-Private,www.prist.ac.in,99
587,"Rajiv Gandhi National Instiute Of Youth Development, Sriperumbudur",Institute of National Importance,www.rgniyd.gov.in,99
588,"S.R.M. Institute Of Science & Technology, Chennai",Deemed University-Private,www.srmuniv.ac.in,99
589,"Sathyabama Institute Of Science & Technology, Chennai",Deemed University-Private,www.sathyabamauniversity.ac.in,99
590,"Saveetha University, Chennai",Deemed University-Private,www.saveetha.com,99
591,"Shanmugha Arts, Science, Technology & Reserch Academy (Sastra), Thanjavur",Deemed University-Private,www.sastra.edu,99
592,"Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya, Kancheepuram",Deemed University-Private,http://www.kanchiuniv.ac.in,99
593,"Sri Ramachandra Medical College And Research Institute, Chennai",Deemed University-Private,www.sriramachandra.edu.in,99
594,"St. Peter's Institute Of Higher Education And Research, Chennai",Deemed University-Private,www.stpetersuniversity.org,99
595,"Tamil Nadu Dr. Ambedkar Law University, Chennai",State Public University,www.tndalu.ac.in,99
596,"Tamil Nadu Dr. M.G.R. Medical University , Chennai",State Public University,www.tnmgrmu.ac.in,99
597,Tamil Nadu Fisheries University,State Public University,www.tnfu.ac.in,99
598,Tamil Nadu National Law School,State Public University,,99
599,"Tamil Nadu Open University, Chennai",State Open University,www.tNo(0)u.ac.in,99
600,"Tamil Nadu Teacher Education University, Chennai",State Public University,www.tnteu.in,99
601,"Tamil Univesity, Thanjavur",State Public University,www.tamiluniversity.ac.in,99
602,"Tamilnadu Agricultural University, Coimbatore",State Public University,www.tnau.ac.in,99
603,"Tamilnadu Physical Education And Sports University, Chennai",State Public University,wwww.tnpesu.org,99
604,"Tamilnadu Veterinary & Animal Sciences University, Chennai",State Public University,tanuvas.ac.in,99
